timestep,mean_reward,std_reward
25000,2.60,1.62
50000,2.60,1.02
75000,3.00,1.41
100000,6.60,1.02
125000,3.20,1.83
150000,6.60,1.85
175000,3.80,3.25
200000,6.60,5.82
225000,14.00,0.63
250000,4.00,2.45
275000,12.40,6.95
300000,18.60,1.96
325000,12.80,8.16
350000,8.40,5.75
375000,14.40,5.16
400000,10.40,2.42
425000,21.40,3.14
450000,13.20,7.19
475000,15.00,6.51
500000,8.20,8.30
525000,23.20,2.93
550000,19.20,7.98
575000,19.00,15.30
600000,19.40,5.35
625000,22.40,9.31
650000,22.00,3.16
675000,10.40,6.47
700000,19.00,11.08
725000,11.20,4.49
750000,19.20,32.93
775000,6.80,3.92
800000,20.80,16.24
825000,21.60,10.74
850000,15.80,7.22
875000,17.80,8.06
900000,32.40,12.78
925000,17.60,11.25
950000,19.00,11.52
975000,18.40,7.96
1000000,21.00,17.49
