timestep,mean_reward,std_reward
25000,3.80,1.94
50000,2.60,1.85
75000,3.60,2.06
100000,5.00,3.35
125000,5.60,2.58
150000,9.00,4.38
175000,15.80,2.99
200000,15.80,6.94
225000,17.80,0.40
250000,17.00,6.03
275000,16.20,4.71
300000,18.40,5.24
325000,14.40,7.34
350000,16.20,8.03
375000,19.00,8.02
400000,15.20,6.85
425000,23.00,4.86
450000,16.00,7.56
475000,22.80,4.45
500000,23.00,5.37
525000,24.60,6.71
550000,28.60,3.61
575000,29.40,2.58
600000,24.20,13.61
625000,28.20,14.76
650000,28.60,12.37
675000,29.40,15.27
700000,31.20,7.93
725000,27.80,15.00
750000,24.00,26.37
775000,44.80,28.38
800000,23.80,18.20
825000,41.80,30.59
850000,39.80,19.26
875000,21.40,25.16
900000,33.00,5.73
925000,44.80,16.31
950000,49.40,22.51
975000,40.60,16.02
1000000,44.40,21.97
