timestep,mean_reward,std_reward
25000,2.80,0.75
50000,3.80,2.23
75000,2.80,0.40
100000,2.80,0.75
125000,5.40,2.50
150000,6.20,3.31
175000,12.40,2.87
200000,14.60,4.50
225000,9.80,6.40
250000,11.60,8.36
275000,9.80,8.89
300000,11.60,6.56
325000,15.80,6.88
350000,10.40,8.45
375000,9.60,4.76
400000,15.60,15.47
425000,9.80,6.49
450000,8.60,4.67
475000,21.80,19.01
500000,16.40,8.36
525000,19.00,7.64
550000,17.00,17.71
575000,21.40,23.85
600000,15.40,6.28
625000,17.80,13.42
650000,12.40,8.06
675000,16.40,7.14
700000,18.40,14.76
725000,15.40,10.44
750000,20.60,6.15
775000,14.40,5.08
800000,15.80,13.12
825000,18.40,9.79
850000,18.40,14.60
875000,15.80,7.96
900000,21.40,9.56
925000,22.80,8.52
950000,12.80,4.53
975000,18.20,9.77
1000000,22.40,15.00
