timestep,mean_reward,std_reward
25000,4.00,1.67
50000,3.60,1.62
75000,4.60,1.85
100000,6.60,3.50
125000,6.00,4.20
150000,7.80,2.14
175000,14.20,5.34
200000,14.60,6.83
225000,11.80,5.49
250000,12.40,8.52
275000,16.00,7.04
300000,17.60,5.82
325000,17.00,6.54
350000,18.20,3.19
375000,15.60,6.37
400000,11.60,7.34
425000,15.00,5.55
450000,18.60,3.38
475000,20.60,0.49
500000,19.80,1.17
525000,20.60,0.80
550000,18.20,6.11
575000,20.60,0.49
600000,13.20,8.75
625000,20.60,0.49
650000,20.40,1.36
675000,20.80,0.40
700000,20.00,1.26
725000,17.20,7.60
750000,21.00,0.63
775000,19.80,1.47
800000,18.20,5.64
825000,21.00,0.63
850000,14.00,6.26
875000,14.80,7.19
900000,20.00,4.15
925000,17.80,6.91
950000,16.00,8.29
975000,22.60,3.01
1000000,20.20,5.42
